JOB, MASTER, NODO, BLOQUE, ETAPA, ARCHIVO TEMPORAL, ESTADO
0, 0, NODO4, 0, TRANSFORMACION, tmp_1, OK
0, 0, NODO3, 1, TRANSFORMACION, tmp_2, OK
0, 0, NODO2, 2, TRANSFORMACION, tmp_3, OK
0, 0, NODO3, 3, TRANSFORMACION, tmp_4, OK
0, 0, NODO1, 4, TRANSFORMACION, tmp_5, OK
0, 0, NODO1, 5, TRANSFORMACION, tmp_6, OK
0, 0, NODO4, 6, TRANSFORMACION, tmp_7, OK
0, 0, NODO2, 7, TRANSFORMACION, tmp_8, OK
0, 0, NODO2, -1, REDUCCION LOCAL, tmp_9, OK
0, 0, NODO3, -1, REDUCCION LOCAL, tmp_10, OK
0, 0, NODO4, -1, REDUCCION LOCAL, tmp_11, OK
0, 0, NODO1, -1, REDUCCION LOCAL, tmp_12, OK
0, 0, NODO2, -1, REDUCCION GLOBAL, tmp_13, OK
1, 1, NODO4, 0, TRANSFORMACION, tmp_14, OK
1, 1, NODO3, 1, TRANSFORMACION, tmp_15, OK
1, 1, NODO2, 2, TRANSFORMACION, tmp_16, OK
1, 1, NODO2, -1, REDUCCION LOCAL, tmp_17, OK
1, 1, NODO3, -1, REDUCCION LOCAL, tmp_18, OK
1, 1, NODO4, -1, REDUCCION LOCAL, tmp_19, OK
1, 1, NODO2, -1, REDUCCION GLOBAL, tmp_20, OK
